Simulação 1,,Simulação 2,,Referências
E,dNdE,E,dNdE,"AKAZATO, K. et al. Supernova neutrino light curves and spectra for various progenitorstars: from core collapse to proto-neutron star cooling.The Astrophysical Journal SupplementSeries, IOP Publishing, v. 205, n. 1, p. 2, 2013"
0,7.961524e+53,1.22,1.24e+53,"KEIL, M. T.; RAFFELT, G. G.; JANKA, H.-T. Monte carlo study of supernova neutrinospectra formation.The Astrophysical Journal, IOP Publishing, v. 590, n. 2, p. 971, 2003"
1,6.156184e+54,1.92,2.74e+53,
2.5,2.171815e+55,2.74,4.80e+53,
4.5,4.897389e+55,3.34,6.54e+53,
7,7.675905e+55,4.15,9.22e+53,
10,7.55604e+55,4.97,11.78e+53,
14,3.208551e+55,5.67,13.77e+53,
19,1.512109e+55,6.47,16.20e+53,
25,7.06265e+54,7.40,18.63e+53,
32,3.372978e+54,8.92,21.50e+53,
40,1.636771e+54,10.13,22.81e+53,
48,6.595468e+53,11.15,23.12e+53,
58,2.726011e+53,12.46,22.74e+53,
68,1.011459e+53,13.88,21.49e+53,
80,3.19839e+52,15.40,19.43e+53,
95,8.696042e+51,17.03,17.13e+53,
115,1.927201e+51,18.24,15.13e+53,
145,4.042652e+50,19.36,13.26e+53,
185,9.632884e+49,20.57,11.32e+53,
235,2.063939e+49,22.09,9.39e+53,
,,23.51,7.58e+53,
,,26.15,5.08e+53,
,,28.78,3.27e+53,
,,31.52,1.96e+53,
,,34.86,1.09e+53,
,,38.61,0.46e+53,
,,41.55,0.27e+53,
