Cross-section,Energy_cross,Eficiency,Energy_eff,Energy_SK_detection
1.27e-5,5.41,4.81e-1,4.62,20
2.32e-5,5.91,6.33e-1,5.13,13.5
4.21e-5,6.40,7.69e-1,5.60,7.5
8.18e-5,7.14,8.73e-1,6.10,9.2
1.49e-4,7.88,8.88e-1,6.60,12.8
1.94e-4,8.38,9.03e-1,7.07,6.3
2.88e-4,9.12,9.34e-1,7.57,35.4
4.59e-4,10.10,9.58e-1,8.08,21
6.83e-4,11.33,9.73e-1,8.54,19.8
1.02e-3,12.80,9.77e-1,9.05,8.6
1.24e-3,13.54,9.79e-1,9.51,13
1.73e-3,15.01,9.81e-1,10.01,8.9
2.25e-3,16.23,9.81e-1,10.98,
2.93e-3,17.70,9.83e-1,11.49,
3.57e-3,18.68,9.83e-1,12.41,
4.36e-3,19.91,,,
5.68e-3,21.62,,,
6.48e-3,22.60,,,
7.90e-3,23.83,,,
9.02e-3,25.05,,,
1.10e-2,26.52,,,
1.25e-2,27.75,,,
1.53e-2,29.46,,,
1.99e-2,32.40,,,
2.42e-2,34.60,,,
2.95e-2,37.30,,,
3.37e-2,39.01,,,
4.10e-2,41.70,,,
4.68e-2,43.90,,,
5.33e-2,46.35,,,
5.69e-2,47.82,,,
6.49e-2,50.02,,,
7.40e-2,52.71,,,
8.44e-2,55.40,,,
1.03e-1,60.05,,,
1.25e-1,65.44,,,
1.52e-1,70.82,,,
1.73e-1,75.22,,,
1.96e-1,80.12,,,
2.23e-1,84.77,,,
2.54e-1,89.90,,,
2.89e-1,95.04,,,
3.29e-1,99.93,,,
